# name,x,y,z
Fp1,0.027171,-0.089137,0.171815
Fp2,-0.027171,-0.089137,0.171815
F7,0.063851,-0.050934,0.162095
F3,0.045091,-0.051412,0.207340
Fz,0.000000,-0.051625,0.227485
F4,-0.045091,-0.051412,0.207340
F8,-0.063851,-0.050934,0.162095
T3 (T7),0.076654,-0.000174,0.152703
C3,0.059625,0.011359,0.215605
Cz,0.000000,0.016362,0.242896
C4,-0.059625,0.011359,0.215605
T4 (T8),-0.076654,-0.000174,0.152703
T5 (P7),0.067295,0.055366,0.146684
P3,0.048135,0.070849,0.193046
Pz,0.000000,0.077133,0.211863
P4,-0.048135,0.070849,0.193046
T6 (P8),-0.067295,0.055366,0.146684
O1,0.027119,0.091604,0.145337
Oz,0.000000,0.096476,0.145367
O2,-0.027119,0.091604,0.145337
FPz,0.000000,-0.093437,0.172987
