case,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9
D_e1e2,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_e1e3,1,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0
D_e1e4,1,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
D_e1e5,1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0
D_e1e6,1,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0
D_e1e7,1,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0
D_e1e8,1,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0
D_e1e9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
D_e2e3,0.0,1,-1,0.0,0.0,0.0,0.0,0.0,0.0
D_e2e4,0.0,1,0.0,-1,0.0,0.0,0.0,0.0,0.0
D_e2e5,0.0,1,0.0,0.0,-1,0.0,0.0,0.0,0.0
D_e2e6,0.0,1,0.0,0.0,0.0,-1,0.0,0.0,0.0
D_e2e7,0.0,1,0.0,0.0,0.0,0.0,-1,0.0,0.0
D_e2e8,0.0,1,0.0,0.0,0.0,0.0,0.0,-1,0.0
D_e2e9,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-1
D_e3e4,0.0,0.0,1,-1,0.0,0.0,0.0,0.0,0.0
D_e3e5,0.0,0.0,1,0.0,-1,0.0,0.0,0.0,0.0
D_e3e6,0.0,0.0,1,0.0,0.0,-1,0.0,0.0,0.0
D_e3e7,0.0,0.0,1,0.0,0.0,0.0,-1,0.0,0.0
D_e3e8,0.0,0.0,1,0.0,0.0,0.0,0.0,-1,0.0
D_e3e9,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,-1
D_e4e5,0.0,0.0,0.0,1,-1,0.0,0.0,0.0,0.0
D_e4e6,0.0,0.0,0.0,1,0.0,-1,0.0,0.0,0.0
D_e4e7,0.0,0.0,0.0,1,0.0,0.0,-1,0.0,0.0
D_e4e8,0.0,0.0,0.0,1,0.0,0.0,0.0,-1,0.0
D_e4e9,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,-1
D_e5e6,0.0,0.0,0.0,0.0,1,-1,0.0,0.0,0.0
D_e5e7,0.0,0.0,0.0,0.0,1,0.0,-1,0.0,0.0
D_e5e8,0.0,0.0,0.0,0.0,1,0.0,0.0,-1,0.0
D_e5e9,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,-1
D_e6e7,0.0,0.0,0.0,0.0,0.0,1,-1,0.0,0.0
D_e6e8,0.0,0.0,0.0,0.0,0.0,1,0.0,-1,0.0
D_e6e9,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1
D_e7e8,0.0,0.0,0.0,0.0,0.0,0.0,1,-1,0.0
D_e7e9,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-1
D_e8e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1
test_scalar1,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_scalar2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
test_scalar3,0.0,0.0,1.5,0.0,0.0,0.0,-1.5,0.0,0.0
test_sum1,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
test_sum2,1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0
test_combo1,1.2,-1.2,0.0,0.0,0.0,0.0,0.0,0.7,-0.7
test_combo2,0.8,0.0,0.0,-0.8,0.0,-0.5,0.0,0.0,0.5
test_combo3,0.0,0.0,0.6,0.0,0.0,0.0,-0.6,0.4,-0.4
test_complex,1.5,-1.0,0.5,0.0,0.0,0.0,-0.5,0.3,-0.3
test_scalar4,-0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_scalar5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-3.0
test_scalar6,0.0,0.0,0.0,2.5,-2.5,0.0,0.0,0.0,0.0
test_sum3,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0
test_sum4,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0
test_sum5,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0
test_combo4,0.3,-0.3,0.0,0.0,0.0,0.9,0.0,0.0,-0.9
test_combo5,2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.5,-0.5
test_combo6,0.0,0.4,0.0,-0.4,0.0,0.0,0.6,0.0,-0.6
test_combo7,1.1,-0.6,0.0,0.0,0.0,0.0,-0.5,0.8,-0.8
test_negative,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
test_triple1,1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,-1.0
test_triple2,0.5,0.0,-0.5,0.0,0.0,1.5,0.0,0.0,-1.5
test_mixed1,0.7,-0.3,0.2,0.0,0.0,0.0,-0.2,0.4,-0.4
test_mixed2,1.8,-1.2,0.0,0.6,0.0,0.0,-0.6,0.0,0.0
