name,x,y,z
Fp1,27.171,-89.137,171.815
Fp2,-27.171,-89.137,171.815
F7,63.851,-50.934,162.095
F3,45.091,-51.412,207.34
Fz,0,-51.625,227.485
F4,-45.091,-51.412,207.34
F8,-63.851,-50.934,162.095
T3 (T7),76.654,-0.174,152.703
C3,59.625,11.359,215.605
Cz,0,16.362,242.896
C4,-59.625,11.359,215.605
T4 (T8),-76.654,-0.174,152.703
T5 (P7),67.295,55.366,146.684
P3,48.135,70.849,193.046
Pz,0,77.133,211.863
P4,-48.135,70.849,193.046
T6 (P8),-67.295,55.366,146.684
O1,27.119,91.604,145.337
Oz,0,96.476,145.367
O2,-27.119,91.604,145.337
FPz,0,-93.437,172.987
